note,midi,f_hz,padauk_flat_0p75in_bar_est_len_in,hard_maple_flat_0p75in_bar_est_len_in,aluminum_6061_flat_0p375in_bar_est_len_in,res_tube_1p5in_id_est_len_in,res_tube_2p0in_id_est_len_in,status,notes
C4,60,261.63,21.11,22.14,17.12,11.72,11.31,derived_estimate,"Free-free flat-bar and quarter-wave estimates; not cut-ready."
C#4,61,277.18,20.51,21.51,16.64,10.99,10.58,derived_estimate,"Free-free flat-bar and quarter-wave estimates; not cut-ready."
D4,62,293.66,19.92,20.90,16.16,10.31,9.90,derived_estimate,"Free-free flat-bar and quarter-wave estimates; not cut-ready."
D#4,63,311.13,19.36,20.30,15.70,9.66,9.25,derived_estimate,"Free-free flat-bar and quarter-wave estimates; not cut-ready."
E4,64,329.63,18.81,19.73,15.26,9.05,8.64,derived_estimate,"Free-free flat-bar and quarter-wave estimates; not cut-ready."
F4,65,349.23,18.27,19.16,14.82,8.47,8.06,derived_estimate,"Free-free flat-bar and quarter-wave estimates; not cut-ready."
F#4,66,369.99,17.75,18.62,14.40,7.93,7.52,derived_estimate,"Free-free flat-bar and quarter-wave estimates; not cut-ready."
G4,67,392.00,17.24,18.09,13.99,7.41,7.00,derived_estimate,"Free-free flat-bar and quarter-wave estimates; not cut-ready."
G#4,68,415.30,16.75,17.57,13.59,6.93,6.52,derived_estimate,"Free-free flat-bar and quarter-wave estimates; not cut-ready."
A4,69,440.00,16.28,17.07,13.20,6.47,6.06,derived_estimate,"Good P0 coupon candidate."
A#4,70,466.16,15.81,16.59,12.83,6.04,5.63,derived_estimate,"Free-free flat-bar and quarter-wave estimates; not cut-ready."
B4,71,493.88,15.36,16.11,12.46,5.63,5.22,derived_estimate,"Free-free flat-bar and quarter-wave estimates; not cut-ready."
C5,72,523.25,14.93,15.66,12.11,5.24,4.83,derived_estimate,"Good P0 coupon candidate."
